  VENTA  ;FECHA
 750,965,441 ;26/08/2018 0:00
 440,727,476 ;16/01/2019 0:00
 370,942,764 ;18/10/2019 0:00
 261,623,906 ;29/05/2018 0:00
 270,430,722 ;9/05/2018 0:00
 802,393,139 ;22/12/2018 0:00
 304,826,120 ;7/06/2018 0:00
 336,024,390 ;24/01/2018 0:00
 461,988,083 ;13/12/2018 0:00
 282,605,354 ;14/05/2019 0:00
 524,620,677 ;4/01/2018 0:00
 365,685,269 ;9/07/2018 0:00
 435,633,506 ;29/11/2018 0:00
 332,849,834 ;2/10/2019 0:00
 747,235,304 ;4/11/2018 0:00
 611,496,930 ;22/09/2018 0:00
 289,719,581 ;2/05/2018 0:00
 683,577,405 ;27/12/2019 0:00
 434,272,425 ;28/06/2018 0:00
 309,991,497 ;19/11/2018 0:00
 402,687,227 ;24/05/2019 0:00
 224,783,361 ;28/05/2018 0:00
 627,755,613 ;17/02/2018 0:00
 341,992,311 ;11/04/2019 0:00
 889,960,236 ;7/08/2019 0:00
 280,910,928 ;7/03/2018 0:00
 420,171,381 ;28/11/2018 0:00
 403,752,138 ;18/07/2019 0:00
 260,528,009 ;3/05/2018 0:00
 322,952,174 ;17/07/2018 0:00
 734,361,003 ;26/10/2019 0:00
 310,967,859 ;23/01/2018 0:00
 862,492,085 ;8/09/2019 0:00
 834,838,535 ;30/09/2018 0:00
 421,875,465 ;15/03/2019 0:00
 715,999,133 ;21/01/2018 0:00
 478,024,772 ;10/10/2019 0:00
 281,756,015 ;17/09/2019 0:00
 528,895,352 ;14/12/2018 0:00
 275,268,237 ;26/04/2018 0:00
 412,919,421 ;11/07/2019 0:00
 683,887,346 ;3/03/2018 0:00
 1,003,045,116 ;15/12/2019 0:00
 294,254,930 ;18/02/2019 0:00
 285,182,847 ;1/11/2018 0:00
 416,340,342 ;23/08/2019 0:00
 445,123,985 ;5/12/2018 0:00
 808,387,533 ;15/07/2018 0:00
 591,094,536 ;19/05/2018 0:00
 355,446,047 ;22/03/2019 0:00
 442,517,363 ;12/12/2018 0:00
 278,590,752 ;23/10/2019 0:00
 418,258,469 ;26/11/2019 0:00
 640,738,020 ;8/01/2018 0:00
 709,878,425 ;28/01/2018 0:00
 873,050,016 ;18/08/2019 0:00
 345,020,139 ;4/09/2019 0:00
 526,967,169 ;27/06/2019 0:00
 320,358,218 ;25/01/2018 0:00
 342,172,013 ;13/06/2019 0:00
 387,857,880 ;15/07/2019 0:00
 292,173,758 ;31/07/2018 0:00
 281,107,785 ;8/11/2018 0:00
 227,545,640 ;14/08/2018 0:00
 664,358,595 ;25/05/2019 0:00
 659,575,667 ;28/07/2018 0:00
 383,734,190 ;9/01/2018 0:00
 847,885,932 ;25/11/2018 0:00
 626,777,634 ;20/10/2018 0:00
 358,795,688 ;20/09/2019 0:00
 718,005,615 ;19/08/2019 0:00
 499,084,626 ;12/12/2019 0:00
 462,601,200 ;27/06/2018 0:00
 379,816,184 ;30/07/2019 0:00
 737,181,407 ;11/11/2019 0:00
 355,633,220 ;3/09/2019 0:00
 779,535,006 ;8/12/2018 0:00
 230,251,800 ;3/04/2018 0:00
 249,593,445 ;22/05/2018 0:00
 671,018,549 ;24/11/2018 0:00
 596,291,730 ;8/11/2019 0:00
 634,781,478 ;6/10/2018 0:00
 347,235,542 ;4/03/2019 0:00
 251,054,838 ;22/04/2019 0:00
 385,643,007 ;8/06/2018 0:00
 723,683,882 ;30/12/2019 0:00
 320,953,959 ;28/02/2018 0:00
 284,057,555 ;7/11/2018 0:00
 291,946,071 ;8/04/2019 0:00
 977,336,016 ;30/06/2019 0:00
 606,521,117 ;13/12/2019 0:00
 227,831,793 ;8/05/2018 0:00
 274,460,664 ;18/09/2019 0:00
 320,710,841 ;19/03/2019 0:00
 400,544,352 ;11/01/2018 0:00
 406,365,408 ;31/08/2018 0:00
 209,037,932 ;4/04/2018 0:00
 252,386,837 ;14/02/2018 0:00
 421,374,203 ;1/08/2019 0:00
 349,490,514 ;5/03/2019 0:00
 680,838,093 ;31/12/2019 0:00
 890,855,645 ;6/10/2019 0:00
 889,060,437 ;24/11/2019 0:00
 250,515,503 ;22/10/2018 0:00
 279,704,520 ;28/05/2019 0:00
 811,725,777 ;11/05/2019 0:00
 752,131,766 ;29/07/2018 0:00
 491,313,915 ;2/08/2019 0:00
 266,259,483 ;28/01/2019 0:00
 309,948,857 ;8/05/2019 0:00
 290,031,501 ;24/10/2019 0:00
 275,821,308 ;19/09/2018 0:00
 695,148,237 ;17/08/2019 0:00
 425,474,696 ;31/07/2019 0:00
 330,591,810 ;16/08/2018 0:00
 255,882,921 ;22/10/2019 0:00
 412,492,688 ;25/11/2019 0:00
